Random seed: "--seed={ 0xe1e60b91, 0x7e2fedf4, 0xc43dcfec, 0xa9496d39, 0xc226c56e, 0x3f13ae3c, 0x7b642335, 0xe6af4bcd, 0x0b13760c, 0x702c4fd7, 0xc4b13aba, 0x2af7421f }"
# variant=lvl1 response_length=156 max_candidates=1000000 max_responses=10000
pair,candidate_space,candidate_space_overflow,candidates,responses,odd_degree,even_degree,invalid,odd_percent,complete
82,>=18446744073709551615,1,34544,10000,3777,6223,0,37.77000000,0
83,>=18446744073709551615,1,38265,10000,3777,6223,0,37.77000000,0
84,>=18446744073709551615,1,37796,10000,3697,6303,0,36.97000000,0
85,>=18446744073709551615,1,40858,10000,3744,6256,0,37.44000000,0
86,>=18446744073709551615,1,36700,10000,3733,6267,0,37.33000000,0
87,>=18446744073709551615,1,39355,10000,3778,6222,0,37.78000000,0
88,>=18446744073709551615,1,33124,10000,3731,6269,0,37.31000000,0
89,>=18446744073709551615,1,34839,10000,3704,6296,0,37.04000000,0
90,>=18446744073709551615,1,36535,10000,3737,6263,0,37.37000000,0
91,>=18446744073709551615,1,34969,10000,3735,6265,0,37.35000000,0
92,>=18446744073709551615,1,37280,10000,3737,6263,0,37.37000000,0
93,>=18446744073709551615,1,43358,10000,3795,6205,0,37.95000000,0
94,>=18446744073709551615,1,35199,10000,3746,6254,0,37.46000000,0
95,>=18446744073709551615,1,34929,10000,3637,6363,0,36.37000000,0
96,>=18446744073709551615,1,34265,10000,3746,6254,0,37.46000000,0
97,>=18446744073709551615,1,37463,10000,3760,6240,0,37.60000000,0
98,>=18446744073709551615,1,38679,10000,3782,6218,0,37.82000000,0
99,>=18446744073709551615,1,33937,10000,3746,6254,0,37.46000000,0
100,>=18446744073709551615,1,38030,10000,3674,6326,0,36.74000000,0
101,>=18446744073709551615,1,37545,10000,3775,6225,0,37.75000000,0
102,>=18446744073709551615,1,34815,10000,3734,6266,0,37.34000000,0
103,>=18446744073709551615,1,44871,10000,3720,6280,0,37.20000000,0
104,>=18446744073709551615,1,36693,10000,3753,6247,0,37.53000000,0
105,>=18446744073709551615,1,34880,10000,3675,6325,0,36.75000000,0
106,>=18446744073709551615,1,35006,10000,3772,6228,0,37.72000000,0
107,>=18446744073709551615,1,41023,10000,3676,6324,0,36.76000000,0
108,>=18446744073709551615,1,43144,10000,3774,6226,0,37.74000000,0
109,>=18446744073709551615,1,34779,10000,3698,6302,0,36.98000000,0
110,>=18446744073709551615,1,35676,10000,3732,6268,0,37.32000000,0
111,>=18446744073709551615,1,36016,10000,3821,6179,0,38.21000000,0
112,>=18446744073709551615,1,38956,10000,3770,6230,0,37.70000000,0
113,>=18446744073709551615,1,37949,10000,3778,6222,0,37.78000000,0
114,>=18446744073709551615,1,35617,10000,3667,6333,0,36.67000000,0
115,>=18446744073709551615,1,33683,10000,3851,6149,0,38.51000000,0
116,>=18446744073709551615,1,41711,10000,3727,6273,0,37.27000000,0
117,>=18446744073709551615,1,36702,10000,3802,6198,0,38.02000000,0
118,>=18446744073709551615,1,41139,10000,3788,6212,0,37.88000000,0
119,>=18446744073709551615,1,34097,10000,3756,6244,0,37.56000000,0
120,>=18446744073709551615,1,37140,10000,3778,6222,0,37.78000000,0
121,>=18446744073709551615,1,37666,10000,3711,6289,0,37.11000000,0
122,>=18446744073709551615,1,34539,10000,3747,6253,0,37.47000000,0
123,>=18446744073709551615,1,37946,10000,3800,6200,0,38.00000000,0
124,>=18446744073709551615,1,38759,10000,3807,6193,0,38.07000000,0
125,>=18446744073709551615,1,37295,10000,3751,6249,0,37.51000000,0
126,>=18446744073709551615,1,36466,10000,3769,6231,0,37.69000000,0
127,>=18446744073709551615,1,37345,10000,3699,6301,0,36.99000000,0
128,>=18446744073709551615,1,35251,10000,3834,6166,0,38.34000000,0
129,>=18446744073709551615,1,39107,10000,3757,6243,0,37.57000000,0
130,>=18446744073709551615,1,40384,10000,3772,6228,0,37.72000000,0
131,>=18446744073709551615,1,37188,10000,3727,6273,0,37.27000000,0
132,>=18446744073709551615,1,35511,10000,3791,6209,0,37.91000000,0
133,>=18446744073709551615,1,39926,10000,3825,6175,0,38.25000000,0
134,>=18446744073709551615,1,35341,10000,3770,6230,0,37.70000000,0
135,>=18446744073709551615,1,38884,10000,3778,6222,0,37.78000000,0
136,>=18446744073709551615,1,37928,10000,3738,6262,0,37.38000000,0
137,>=18446744073709551615,1,38620,10000,3691,6309,0,36.91000000,0
138,>=18446744073709551615,1,37823,10000,3724,6276,0,37.24000000,0
139,>=18446744073709551615,1,35413,10000,3754,6246,0,37.54000000,0
140,>=18446744073709551615,1,38622,10000,3845,6155,0,38.45000000,0
141,>=18446744073709551615,1,34337,10000,3683,6317,0,36.83000000,0
142,>=18446744073709551615,1,39863,10000,3756,6244,0,37.56000000,0
143,>=18446744073709551615,1,46343,10000,3732,6268,0,37.32000000,0
144,>=18446744073709551615,1,38046,10000,3675,6325,0,36.75000000,0
145,>=18446744073709551615,1,37047,10000,3727,6273,0,37.27000000,0
146,>=18446744073709551615,1,35230,10000,3768,6232,0,37.68000000,0
147,>=18446744073709551615,1,35727,10000,3794,6206,0,37.94000000,0
148,>=18446744073709551615,1,38996,10000,3671,6329,0,36.71000000,0
149,>=18446744073709551615,1,33382,10000,3805,6195,0,38.05000000,0
150,>=18446744073709551615,1,35551,10000,3624,6376,0,36.24000000,0
151,>=18446744073709551615,1,38041,10000,3757,6243,0,37.57000000,0
152,>=18446744073709551615,1,33513,10000,3738,6262,0,37.38000000,0
153,>=18446744073709551615,1,43680,10000,3837,6163,0,38.37000000,0
154,>=18446744073709551615,1,36997,10000,3741,6259,0,37.41000000,0
155,>=18446744073709551615,1,37508,10000,3774,6226,0,37.74000000,0
156,>=18446744073709551615,1,40651,10000,3723,6277,0,37.23000000,0
157,>=18446744073709551615,1,42557,10000,3711,6289,0,37.11000000,0
158,>=18446744073709551615,1,34987,10000,3723,6277,0,37.23000000,0
159,>=18446744073709551615,1,39736,10000,3852,6148,0,38.52000000,0
160,>=18446744073709551615,1,35702,10000,3759,6241,0,37.59000000,0
161,>=18446744073709551615,1,42349,10000,3705,6295,0,37.05000000,0
162,>=18446744073709551615,1,35566,10000,3766,6234,0,37.66000000,0
163,>=18446744073709551615,1,37954,10000,3745,6255,0,37.45000000,0
164,>=18446744073709551615,1,35126,10000,3696,6304,0,36.96000000,0
165,>=18446744073709551615,1,39588,10000,3693,6307,0,36.93000000,0
166,>=18446744073709551615,1,41098,10000,3722,6278,0,37.22000000,0
167,>=18446744073709551615,1,36150,10000,3814,6186,0,38.14000000,0
168,>=18446744073709551615,1,35371,10000,3823,6177,0,38.23000000,0
169,>=18446744073709551615,1,34609,10000,3700,6300,0,37.00000000,0
170,>=18446744073709551615,1,36334,10000,3764,6236,0,37.64000000,0
171,>=18446744073709551615,1,33996,10000,3812,6188,0,38.12000000,0
172,>=18446744073709551615,1,37612,10000,3696,6304,0,36.96000000,0
173,>=18446744073709551615,1,37837,10000,3696,6304,0,36.96000000,0
174,>=18446744073709551615,1,35247,10000,3736,6264,0,37.36000000,0
175,>=18446744073709551615,1,38712,10000,3739,6261,0,37.39000000,0
176,>=18446744073709551615,1,35817,10000,3665,6335,0,36.65000000,0
177,>=18446744073709551615,1,41224,10000,3731,6269,0,37.31000000,0
178,>=18446744073709551615,1,38633,10000,3782,6218,0,37.82000000,0
179,>=18446744073709551615,1,36746,10000,3888,6112,0,38.88000000,0
180,>=18446744073709551615,1,36637,10000,3719,6281,0,37.19000000,0
181,>=18446744073709551615,1,37483,10000,3680,6320,0,36.80000000,0
182,>=18446744073709551615,1,35477,10000,3802,6198,0,38.02000000,0
183,>=18446744073709551615,1,44647,10000,3776,6224,0,37.76000000,0
184,>=18446744073709551615,1,40968,10000,3794,6206,0,37.94000000,0
185,>=18446744073709551615,1,40193,10000,3696,6304,0,36.96000000,0
186,>=18446744073709551615,1,43109,10000,3748,6252,0,37.48000000,0
187,>=18446744073709551615,1,34232,10000,3650,6350,0,36.50000000,0
188,>=18446744073709551615,1,35925,10000,3700,6300,0,37.00000000,0
189,>=18446744073709551615,1,35644,10000,3719,6281,0,37.19000000,0
190,>=18446744073709551615,1,42091,10000,3780,6220,0,37.80000000,0
191,>=18446744073709551615,1,37292,10000,3672,6328,0,36.72000000,0
192,>=18446744073709551615,1,39223,10000,3734,6266,0,37.34000000,0
193,>=18446744073709551615,1,35964,10000,3709,6291,0,37.09000000,0
194,>=18446744073709551615,1,36866,10000,3743,6257,0,37.43000000,0
195,>=18446744073709551615,1,35609,10000,3762,6238,0,37.62000000,0
